company_id,company_name,country,city,region_bucket,business_id,founded_year,company_status,company_size,headcount_latest,headcount_year,parent_company,self_published,games_shipped,website,src_registry,src_headcount,notes
bippinbits,Bippinbits GmbH,Germany,Radeberg,EU-Other,HRB 39892 (AG Dresden),2020,Active,Small (6-20),7,2024,,No,1,https://bippinbits.com,S001,S003,"Dome Keeper published by Raw Fury (=self_published No); studio now self-publishes PVKK. Sole owner/MD Rene Habermann; share capital EUR25,000. Business_id populated (non-Nordic) - extends schema's Nordic-only default; flagged."
thunderful_image_form,Image & Form International AB (now Thunderful Development AB / Stormteller Games),Sweden,Gothenburg,Nordics,,1997,Acquired,Subsidiary,25,2024,Thunderful Group AB (owned by Atari SA since Aug 2025),Yes,7,https://thunderful.se,S005,S006,"MESSY LINEAGE: Image&Form (SteamWorld Dig 1/2, The Gunk) integrated into Thunderful Development AB 2020; Gothenburg team rebranded Stormteller Games after 2024 layoffs (~25 devs). self_published Yes reflects Image&Form's historic self-sufficiency / in-group Thunderful Publishing. Financials muddied by listed group - see notes; org.nr not pulled. games_shipped approx."
foulball_hangover,Foulball Hangover LTD,United Kingdom,London,UK,,2019,Active,Micro (2-5),5,2025,,Yes,2,https://www.foulballhangover.com,S019,S019,"Solo dev Max Hayon grew to ~5 FT. Hydroneer (2020) self-published, 1M+ copies. founded_year ~2019 EST - verify via UK Companies House. Small UK co files abbreviated accounts (limited financials)."
pugstorm,Pugstorm AB,Sweden,Linkoping,Nordics,559175-3602,2018,Active,Mid (21-50),12,2024,,No,2,https://pugstorm.eu,S008,S007,Core Keeper (the tracked title) published by Fireshine Games; Kyora by Chucklefish -> self_published No. Founders Fredrik Prantare & Julian Seifert-Olszewski. ~35 total incl. contractors (12 payroll employees filed). Core Keeper 2M+ copies.
nolla_games,Nolla Games Oy,Finland,Helsinki,Finland,2789347-8,2016,Active,Micro (2-5),3,2024,,Yes,1,https://nollagames.com,S010,S009,Founders Petri Purho / Olli Harjola / Arvi 'Hempuli' Teikari. Noita self-published. Reg 2016-11-07. FILED FINANCIALS available (see financials.csv): ~74% operating margins. Payroll employees filed 0 (founders draw dividends); effective ~3.
fire_hose_games,"Fire Hose Games, Inc.",United States,"Boston, MA",North America,,2008,Active,Small (6-20),20,2025,,Yes,5,https://www.firehosegames.com,S020,S020,Techtonica (2023) self-published. Founded 2008 by MIT alumni; fully remote. Also co-dev/work-for-hire (Harmonix). headcount ~15-25 EST - verify (LinkedIn). US private - no public financials.
vrkiwi,VRKiwi Oy (aka MeKiwi Oy),Finland,Oulu,Finland,2602442-2,2014,Active,Small (6-20),15,2024,,Yes,5,https://vrkiwi.org,S011,S011,Cave Digger series self-developed AND self-published (VRKiwi is also a VR publisher). Same Y-tunnus 2602442-2 serves VRKiwi Oy / MeKiwi Oy (renamed/aputoiminimi). LOSS-MAKING with negative equity (see financials.csv) - contrast to Nolla. Raised EUR1.5M (see funding.csv). games_shipped approx (own dev titles).
digital_sun,Digital Sun Games,Spain,Valencia,EU-Other,CIF B98768575,2015,Active,Large (50+),50,2026,,No,4,https://digitalsungames.com,S021,S021,"Moonlighter (tracked title) published by 11 bit studios -> self_published No; Mageseeker via Riot Forge; Cataclismo & recent originals self-published (studio now self-publishes + has Digital Sun Forge co-dev branch). Team since 2013, entity constituted 2015-10-01. ENTITY SPLIT: 'Digital Sun Games SL' (B98768575) now largely INACTIVE (accounts to FY2020); live entity appears to be 'Digital Sun Studios SL' (B98516321), paywalled. Spanish accounts not freely accessible."
system_era,"System Era Softworks, Inc.",United States,"Seattle, WA",North America,,2014,Acquired,Mid (21-50),50,2023,Devolver Digital (AIM: DEVO),Yes,2,https://www.systemera.net,S023,S023,"Astroneer self-published by System Era -> self_published Yes. Acquired by Devolver Digital Nov 2023 (up to $40M, $22M initial). Astroneer owns 100% IP; ~$87M lifetime revenue (ANEC, games-side). US private - no standalone filings."
hopfrog,HopFrog S.A.,Argentina,Sunchales,Other,,2017,Active,Micro (2-5),2,2024,,No,1,https://hopfrogsa.net,S024,S024,Forager (2019) published by Humble Bundle -> self_published No. Effectively solo-led (Mariano Cavallero) + contractors. Founder now based in Bellevue WA (company Argentine). founded ~2016-17 EST. Forager 900k units/~$10M gross (ANEC). Argentina private - no accessible filings.
