source_id,source_type,title,url,archive_url,outlet,author,date_published,retrieved_date,reliability,notes
S001,Other,Bippinbits GmbH - Handelsregister Dresden HRB 39892,"https://www.northdata.com/Bippinbits+GmbH,+Radeberg/Amtsgericht+Dresden+HRB+39892",,Amtsgericht Dresden / North Data,,,2026-07-15,Primary,"German company registry (North Data mirrors the official Handelsregister). HRB 39892; founded 2020; share capital EUR25,000; sole owner/MD Rene Habermann. No dedicated registry value in Lists -> tagged 'Other'."
S002,Other,Bippinbits GmbH - Jahresabschluss (Bundesanzeiger),https://www.bundesanzeiger.de/,,Bundesanzeiger,,2024-06-24,2026-07-15,Primary,"Small GmbH files ABBREVIATED accounts (balance sheet only, no P&L). FY2023 filed 2024-06-24, FY2024 ~Oct 2025. Balance-sheet total ~EUR1.0M (aggregator OCR). Revenue/profit not publicly disclosed."
S003,Dev statement,Bippinbits GmbH - CAGGTUS exhibitor profile (headcount),https://www.caggtus.de/exhibitors-products/exhibitor/caggtus/bippinbits-gmbh/993,,CAGGTUS,Bippinbits GmbH,2024,2026-07-15,Self-reported,"Studio self-report: started 2-person, 'now 7 with freelancers'. Approximate; verify current headcount on LinkedIn."
S004,Press article,Dome Keeper grossed ~$1M at launch; Raw Fury publishing,https://gameworldobserver.com/2022/10/17/dome-keeper-1-million-revenue-wishlists-success-raw-fury,,Game World Observer,,2022-10-17,2026-07-15,Self-reported,ANEC (games table): Raw Fury CEO stated ~$1M gross soon after Oct-2022 launch. MUST be archived (fragile). Publisher = Raw Fury.
S005,Other,Image & Form International AB - Wikipedia,https://en.wikipedia.org/wiki/Image_%26_Form,,Wikipedia,,,2026-07-15,Reputable secondary,Founded 1997 Gothenburg by Brjann Sigurgeirsson; integrated into Thunderful Development AB (2020); Gothenburg team rebranded Stormteller Games after 2024 layoffs (~25 devs remain).
S006,Other,Thunderful Group AB - Wikipedia (Atari acquisition),https://en.wikipedia.org/wiki/Thunderful_Group,,Wikipedia,,,2026-07-15,Reputable secondary,"Parent Thunderful Group AB (Nasdaq First North, delisted); acquired by Atari SA Aug 2025. Group ~510 employees (2023). Studio-level financials muddied by listed-group structure -> use group consolidated reports OR Image&Form AB filings (allabolag)."
S007,Press article,Pugstorm - KYORA press kit (Chucklefish),https://chucklefish.org/kyora-press-kit/,,Chucklefish,,2025-04-08,2026-07-15,Reputable secondary,Founded 2018 Linkoping by Fredrik Prantare & Julian Seifert-Olszewski; ~35 full-time+contract; remote-first. Core Keeper 2M+ copies.
S008,Other,Pugstorm AB - allabolag / ratsit (org.nr 559175-3602),https://www.allabolag.se/5591753602/bokslut,,allabolag / Ratsit (UC/Bolagsverket),,,2026-07-15,Reputable secondary,"Swedish filed accounts mirror. Org.nr 559175-3602; share capital 50,000 SEK; FY2024 revenue 76.3M SEK, net 30.2M SEK, total assets 86.5M SEK, ~12 employees. Authoritative source = Bolagsverket filing."
S009,Company website,Nolla Games - studio site (founders),https://nollagames.com/,,Nolla Games,,,2026-07-15,Self-reported,"Founders Petri Purho, Olli Harjola, Arvi 'Hempuli' Teikari. Helsinki. Small team."
S010,Finder.fi,Nolla Games Oy - Finder/Asiakastieto/proff (Y-tunnus 2789347-8),https://www.proff.fi/yrityksen/nolla-games-oy/helsinki/konsultit/2789347-8I00NR,,Finder.fi / Asiakastieto / proff.fi,,,2026-07-15,Reputable secondary,Finnish filed accounts (PRH). Y-tunnus 2789347-8; reg 2016-11-07. FY2023 revenue EUR3.37M / op EUR2.5M / net EUR1.97M; FY2024 revenue EUR4.2M / op EUR3.1M; equity ratio ~98-100%. Employees filed as 0 (founders on dividends); effective ~3.
S011,Finder.fi,VRKiwi Oy - proff/asiakastieto (Y-tunnus 2602442-2),https://www.proff.fi/yrityksen/mekiwi-oy/oulu/tietokoneohjelmistot-ja-ohjelmistokehitys/2602442-2I009O,,proff.fi / Asiakastieto,,,2026-07-15,Reputable secondary,"Finnish filed accounts. VRKiwi Oy (formerly/aka MeKiwi Oy), Y-tunnus 2602442-2, reg 2014-02-18, Oulu. FY2023 revenue EUR0.6M / net -EUR0.31M / 21 emp; FY2024 revenue EUR0.699M / op loss ~-EUR0.2M / 15 emp / negative equity."
S012,Press article,VRKiwi - EUR1.5M funding round + Business Finland (LinkedIn),https://fi.linkedin.com/company/vrkiwi,,VRKiwi (LinkedIn),,,2026-07-15,Self-reported,"ANEC: closed EUR1.5M round; existing investors Korpun Siemen Oy & Nordic Option Oy + private. Prior backers incl. Business Finland, AJK Capital, Kinoni, Zenvest (PitchBook total ~$623k pre-round). Archive recommended."
S013,Crunchbase/Dealroom,VRKiwi - PitchBook profile (funding/investors),https://pitchbook.com/profiles/company/102257-29,,PitchBook,,,2026-07-15,Reputable secondary,"~$623K raised; investors AJK Capital, Business Finland, Kinoni, Zenvest, Korpun Siemen (5 of 7). ~13 employees."
S014,Company website,Iron Gate - about page,https://irongate.se/about/,,Iron Gate AB,,,2026-07-15,Self-reported,"Skovde, Sweden; founded 2018 (site) by Richard Svensson & Henrik Tornqvist (ex-Pieces Interactive); team of 16. Valheim 12M+ copies. NB secondary sources say founded April 2019 - verify via Bolagsverket."
S015,Crunchbase/Dealroom,Iron Gate AB - Dealroom (publisher/ownership),https://app.dealroom.co/companies/iron_gate_ab,,Dealroom,,,2026-07-15,Reputable secondary,Publisher Coffee Stain (Embracer) holds a MINORITY stake + rev-share; Iron Gate otherwise independent.
S016,Press article,Embracer acquires Tuxedo Labs (Embracer PR),https://embracer.com/releases/embracer-group-acquires-tuxedo-labs/,,Embracer Group,,2022-08-18,2026-07-15,Primary,"Malmo, Sweden; founded 2019 by Dennis Gustafsson (CTO); team of 6. Acquired 100% by Embracer via Saber Interactive, completed 2022-07-01 (upfront + earn-out, terms undisclosed). Teardown 1M+ copies."
